item,itemLabel,insee,pop,area,popDate
http://www.wikidata.org/entity/Q1001436,Chanteloup,50120,241,4.17,1999-03-08T00:00:00Z
http://www.wikidata.org/entity/Q1001443,Carneville,50101,220,6.88,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1001315,Barenton,50029,1437,34.88,1990-03-05T00:00:00Z
http://www.wikidata.org/entity/Q1001443,Carneville,50101,224,6.88,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1001436,Chanteloup,50120,289,4.17,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1001443,Carneville,50101,227,6.88,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1001449,Doville,50166,270,11.09,1968-03-01T00:00:00Z
http://www.wikidata.org/entity/Q1001315,Barenton,50029,1348,34.88,1999-03-08T00:00:00Z
http://www.wikidata.org/entity/Q1001443,Carneville,50101,238,6.88,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1001443,Carneville,50101,241,6.88,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1001436,Chanteloup,50120,333,4.17,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1001449,Doville,50166,266,11.09,1975-02-20T00:00:00Z
http://www.wikidata.org/entity/Q1001443,Carneville,50101,236,6.88,2017-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1001443,Carneville,50101,235,6.88,2018-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1001436,Chanteloup,50120,345,4.17,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1001443,Carneville,50101,235,6.88,2019-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1001443,Carneville,50101,232,6.88,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1001436,Chanteloup,50120,354,4.17,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1001443,Carneville,50101,231,6.88,2021-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1001436,Chanteloup,50120,364,4.17,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1001315,Barenton,50029,1293,34.88,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1001443,Carneville,50101,240,6.88,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1001436,Chanteloup,50120,356,4.17,2017-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1001436,Chanteloup,50120,358,4.17,2018-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1001449,Doville,50166,247,11.09,1982-03-04T00:00:00Z
http://www.wikidata.org/entity/Q1001436,Chanteloup,50120,359,4.17,2019-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1001436,Chanteloup,50120,365,4.17,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1001436,Chanteloup,50120,373,4.17,2021-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1001436,Chanteloup,50120,393,4.17,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1001315,Barenton,50029,1244,34.88,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1001449,Doville,50166,253,11.09,1990-03-05T00:00:00Z
http://www.wikidata.org/entity/Q1001315,Barenton,50029,1175,34.88,2019-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1001315,Barenton,50029,1171,34.88,2021-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1001449,Doville,50166,256,11.09,1999-03-08T00:00:00Z
http://www.wikidata.org/entity/Q1001449,Doville,50166,285,11.09,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1001449,Doville,50166,299,11.09,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1001449,Doville,50166,309,11.09,2013-01-01T00:00:00Z
